artifact_id	step_id	scope_type	scope_id	adapter	source_path	required
analysis.synthetic.depth_delta_pdf	09	analysis	synthetic_analysis	step09_depth_delta_pdf_v1	tests/fixtures/artifact_schema_v1/source/results/editing/synthetic_analysis/synthetic_analysis.depth_delta.pdf	true
review.synthetic.review_plan	09c	scientific_review	synthetic_review	step09c_review_plan_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_review_plan.tsv	true
review.synthetic.evidence_index	09c	scientific_review	synthetic_review	step09c_evidence_index_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_evidence_index.tsv	true
review.synthetic.orientation_locus_audit	09c	scientific_review	synthetic_review	step09c_orientation_locus_audit_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_orientation_locus_audit.tsv	true
review.synthetic.annotation_audit	09c	scientific_review	synthetic_review	step09c_annotation_audit_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_annotation_audit.tsv	true
review.synthetic.qc_funnel	09c	scientific_review	synthetic_review	step09c_qc_funnel_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_qc_funnel.tsv	true
review.synthetic.replicate_effects	09c	scientific_review	synthetic_review	step09c_replicate_effects_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_replicate_effects.tsv	true
review.synthetic.sensitivity_matrix	09c	scientific_review	synthetic_review	step09c_sensitivity_matrix_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_sensitivity_matrix.tsv	true
review.synthetic.leave_one_pair_out	09c	scientific_review	synthetic_review	step09c_leave_one_pair_out_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_leave_one_pair_out.tsv	true
review.synthetic.candidate_selection	09c	scientific_review	synthetic_review	step09c_candidate_selection_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_candidate_selection.tsv	true
review.synthetic.candidate_adjudication	09c	scientific_review	synthetic_review	step09c_candidate_adjudication_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_candidate_adjudication.tsv	true
review.synthetic.decisions	09c	scientific_review	synthetic_review	step09c_decisions_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_decisions.tsv	true
review.synthetic.limitations	09c	scientific_review	synthetic_review	step09c_limitations_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_limitations.tsv	true
review.synthetic.review_summary	09c	scientific_review	synthetic_review	step09c_review_summary_v1	tests/fixtures/artifact_schema_v1/source/results/scientific_validation/synthetic_review/synthetic_review.step09c_review_summary.tsv	true
